"","Jelect","jblogel","jnewspaper","jnatradio","jtalkback","jdiscussp","jrallies","jpersuade","jpcmoney","jpcposter","jlablike","jnatlike","jgrnlike","jnzflike","jactlike","junflike","jmaolike","jmnplike","jmostlike","jmostlikex","jrepublic","jsphealth","jspedu","jspunemp","jspdefence","jspsuper","jspbusind","jsppolice","jspwelfare","jspenviro","jgovpdk","jgovplab","jgovpnat","jgovpgrn","jgovpnzf","jgovpact","jgovunf","jgovpmao","jgovpmnp","jnevervoteno","jnevervotelab","jnevervotenat","jnevervotegrn","jnevervotenzf","jnevervoteact","jnevervoteunf","jnevervotemao","jnevervotemnp","jnevervoteoth","jnevervoteothx","jfirstpx","jsecondp","jage","jlanguage","jlanguagex","jrollsex","jhqual","jwkft","jwkpt","jwkun","jwkret","jwkdis","jwksch","jwkunpo","jwkunpi","jhhincome","jhhadults","jhhchn","jmarital","r_jind","jlablr","jnatlr","jgrnlr","jnzflr","jactlr","junflr","jmaolr","jmnplr","jslflr","jrelservices","jrelnone","jrelang","jrelpres","jrelcath","jrelmeth","jrelbap","jrellat","jrelrat","jrelfun","jrelothc","jrelnonc","jreligionx","jreligiousity","jethnicity_e","jethnicity_m","jethnicity_p","jethnicity_a","jethnicity_o","jethnicityx","jethnicmost","jethnicmostx","jpartyvote","jelecvote","njptyvote","njelecvote","jdiffvoting","X_singlefav"
"1976",70,NA,"Often",NA,NA,"Yes, frequently","No","Yes, frequently","No","Yes, frequently","10","0","10","10","0","0","7","5","Labour","NZ FIRST","Become a republic with an NZ head of state","Much more","Much more","Much more","Less","Much more","Same as now","Same as now","Much more","Same as now",NA,"Yes, Labour helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, National",NA,NA,"Yes, Act","Yes, United Future",NA,NA,NA,"","","Labour",54,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,NA,NA,"Temporarily or permanently disabled, unable to work",NA,NA,"Working unpaid within the home","Don't know",2,NA,"Divorced or separated","”ENTERTAINMENT AND REPAIR SERVICES”","1","9","1","1","9","9","Centre","2","1",NA,"No religion","Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European","NZ Maori",NA,NA,NA,"","NZ Maori","","Labour","NZ First","Labour","NZ First","Voting can make a big difference to what happens","Labour"
"1977",65,NA,"Sometimes","Not at all","Not at all","Yes, occasionally","No","Yes, occasionally","No","No","9","1","5","6","5","5","5","5","Labour","","Don't know","More","More","More","Same as now","More","More","Same as now","More","More","No, can't recall which parties formed government after 2008 election","Yes, Labour helped form government after 2008 election","Yes, National helped form government after 2008 election","Yes, Greens helped form government after 2008 election",NA,NA,NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,NA,"Yes, Act","Yes, United Future",NA,NA,NA,"","","Green",48,"English","",NA,"UE, Bursary, Higher School or Higher Leaving Certificate","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ51,400-$NZ76,099",4,NA,"Single, never married","”SECURITY”","9","1","Centre","6","3","3","Centre","Centre","9","Once a year",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious",NA,"NZ Maori",NA,NA,NA,"",NA,"","Labour","Labour","Labour","Labour","Voting can make a reasonable amount of difference to what happens","Labour"
"1978",65,NA,NA,NA,NA,"Yes, occasionally",NA,NA,NA,NA,"6","5","5","2","2","3","2","2","Mana Party","","Become a republic with an NZ head of state","Much more","Much more","Much more","More","Much more","More","More","More","Much more","No, can't recall which parties formed government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,"No party for which I would never vote",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Mana Party",58,"English","",NA,"Secondary education to School Certificate or NCEA",NA,"Working part-time for pay or other income",NA,NA,NA,NA,NA,NA,"$NZ20,001-$NZ28,899",2,NA,"Married, in a civil union or living with a partner","”RECREATION”","4","6","Centre","2","2","2","Centre","Centre","4","Once a year",NA,NA,NA,NA,NA,NA,NA,"Ratana",NA,NA,NA,"","Somewhat religious",NA,"NZ Maori",NA,NA,NA,"",NA,"","Maori Party","9","Maori","Mana","Voting can make some difference to what happens","Labour"
"1979",65,"Visited a political blog for election information","Often","Rarely","Rarely","Yes, frequently","No","Yes, occasionally","No","No","5","0","10","3","0","0","7","0","Green","","Don't know","Much more","Much more","Same as now","Much less","Same as now","Same as now","Same as now","Same as now","Much more",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election",NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,NA,"Yes, Act","Yes, United Future",NA,NA,NA,"","","Green",39,"English","",NA,"University degree completed",NA,"Working part-time for pay or other income",NA,NA,NA,"At school, university, or other educational institution",NA,NA,"$NZ28,900-$NZ51,399",3,2,"Married, in a civil union or living with a partner","”SECURITY”","2","8","1","Right","Right","Right","Centre","Right","1","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious",NA,"NZ Maori",NA,NA,NA,"",NA,"","Labour","Labour","Labour","Labour","Voting can make a big difference to what happens","Green"
"1980",68,NA,"Often",NA,"Often","Yes, frequently","No","Yes, frequently","No","No","9","0","7","5","Don't know","Don't know","1","9","Labour","","Don't know","More","Much more","Much more","More","More","More","More","Much more","Much more",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election",NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,NA,"Yes, Act",NA,NA,NA,NA,"","","NZ First",43,"English","",NA,"Incomplete university degree",NA,NA,NA,NA,NA,"At school, university, or other educational institution",NA,NA,"$NZ20,001-$NZ28,899",3,3,"Married, in a civil union or living with a partner",NA,"Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Once a year",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious",NA,"NZ Maori","Samoan, Cook Island Maori, Tongan or other Pacific",NA,"Other","FRENCH","NZ Maori","","Labour","9","Labour","Mana","Voting can make a big difference to what happens","Labour"
"1981",64,NA,"Often",NA,NA,"Yes, occasionally","No","No","No","No","8","5","8","8","0","2","6","7","Mana Party","","Retain Queen as head of state","More","More","Same as now","More","More","More","More","More","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election",NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,NA,"Yes, Act","Yes, United Future",NA,NA,NA,"","","Labour",66,"English","",NA,"Secondary education to School Certificate or NCEA",NA,"Working part-time for pay or other income",NA,NA,NA,NA,NA,NA,"$NZ28,900-$NZ51,399",2,NA,"Married, in a civil union or living with a partner","”HEALTH”","6","7","6","7","Centre","Centre","6","6","6","2-11 times a year",NA,NA,NA,NA,NA,NA,"Latter Day Saints",NA,NA,NA,NA,"","Somewhat religious",NA,"NZ Maori",NA,NA,NA,"",NA,"","Labour","Maori Party","Labour","Maori","Voting can make a reasonable amount of difference to what happens","Labour"
"1982",70,NA,NA,NA,NA,"Yes, rarely","No","No","No","No","4","8","10","10","Don't know","Don't know","5","4","NZ First","","Retain Queen as head of state","Less","Less","Much more","Same as now","Much less","Less","More","Much more","Much less","No, can't recall which parties formed government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,"No party for which I would never vote",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Labour",51,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ28,900-$NZ51,399",2,NA,"Divorced or separated","”AGRICULTURAL”","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Once a year",NA,"Anglican",NA,NA,"Methodist",NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European","NZ Maori",NA,NA,NA,"","NZ Maori","","National","National","National","National","Voting can make a big difference to what happens","Green"
"1983",66,NA,"Rarely",NA,NA,"Yes, rarely","No","No","No","No","6","9","5","5","5","5","8","5","National","","Retain Queen as head of state","More","More","Much less","Same as now","Same as now",NA,NA,NA,NA,NA,NA,"Yes, National helped form government after 2008 election","Yes, Greens helped form government after 2008 election",NA,"Yes, Act helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,"Yes, NZ First","Yes, Act","Yes, United Future",NA,"Yes, Mana Party",NA,"","","Don't know",43,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ51,400-$NZ76,099",2,0,"Married, in a civil union or living with a partner","”UNCLASSIFED”","2","9","3","3","3","3","9","9","9","Never",NA,NA,NA,"Catholic",NA,NA,NA,NA,NA,NA,NA,"","Very religious",NA,"NZ Maori",NA,NA,NA,"","NZ Maori","","National","Maori Party","National","Maori","Voting can make a big difference to what happens","National"
"1984",67,NA,"Often","Rarely","Rarely","Yes, frequently","Yes, rarely","Yes, frequently",NA,NA,"8","4","4","2","2","Don't know","2","Don't know","Don't know","","Become a republic with an NZ head of state","Much more","Much more","Less","Same as now","More","Much less","More","Much less","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First","Yes, Act","Yes, United Future",NA,NA,NA,"","","Maori Party",55,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ20,001-$NZ28,899",1,NA,"Single, never married","”RETAIL TRADE”","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Never",NA,NA,NA,"Catholic",NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs",NA,"NZ Maori",NA,NA,NA,"",NA,"",NA,NA,"Nonvote","Nonvote","Voting can make some difference to what happens","Labour"
"1985",65,NA,"Often",NA,NA,"Yes, frequently","No","No","No","No","8","6","7","5","0","3","7","5","Labour","","Become a republic with an NZ head of state","Same as now","More","Same as now","Less","More","More","Same as now","Same as now","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First","Yes, Act","Yes, United Future",NA,NA,NA,"","","National",27,"Maori","",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ110,800-$NZ147,699",2,0,"Married, in a civil union or living with a partner","”SOCIAL SERVICES”","6","Right","4","6","Right","9","4","3","6","Never",NA,NA,NA,"Catholic",NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious",NA,"NZ Maori",NA,NA,NA,"",NA,"","Labour","Maori Party","Labour","Maori","Voting can make a big difference to what happens","Labour"
"1986",68,"Visited a political blog for election information","Often","Often",NA,"Yes, frequently","Yes, frequently","No","No","No","2","2","5","2","2","2","4","10","Mana Party","","Become a republic with an NZ head of state","More","Much more","Same as now","Same as now","Much more","Much more","Same as now","Same as now","Much more",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,"Yes, Labour","Yes, National","Yes, Green","Yes, NZ First","Yes, Act","Yes, United Future","Yes, Maori Party",NA,NA,"","","Labour",51,"English","",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ20,001-$NZ28,899",4,2,"Married, in a civil union or living with a partner","”HEALTH”","2","6","3","2","3","3","6","2","4","Once a month",NA,"Anglican",NA,NA,"Methodist",NA,NA,NA,NA,NA,NA,"","Somewhat religious",NA,"NZ Maori",NA,NA,NA,"","NZ Maori","","Mana","9","Mana","Mana","Voting can make a big difference to what happens","Mana"
"1987",70,NA,"Rarely","Rarely","Sometimes","Yes, occasionally","No","Yes, rarely","No","No","5","5","7","5","4","4","7","6","Maori Party","","Don't know","More","More","Same as now","Much less","Same as now","Same as now","Same as now","Same as now","Same as now","No, can't recall which parties formed government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Act",NA,NA,NA,NA,"","","Green",54,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,NA,NA,NA,NA,NA,"Working unpaid within the home","$NZ28,900-$NZ51,399",1,NA,"Married, in a civil union or living with a partner","”MANUFACTURING”","Centre","Centre","3","6","6",NA,"3","3","2","2-11 times a year",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious",NA,"NZ Maori",NA,NA,NA,"",NA,"","Maori Party","Maori Party","Maori","Maori","Voting can make a reasonable amount of difference to what happens","Green"
"1988",67,NA,"Often","Often","Often","Yes, frequently","No","No","No","No","1","0","2","3","3","3","10","10","Maori Party","","Retain Queen as head of state","Much more","Much more","Much more","Much more","Much more","Much more","Much more","Much more","Much more","No, can't recall which parties formed government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, National",NA,NA,NA,NA,NA,NA,NA,"","","Maori Party",71,"Maori","",NA,"Secondary education to School Certificate or NCEA",NA,"Working part-time for pay or other income",NA,NA,NA,NA,NA,NA,"$NZ28,900-$NZ51,399",2,2,"Divorced or separated","”PERSONAL SERVICES”","Right","8","9","9","2","2","1","1","Don't know","At least once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other Christian",NA,"FULL GOSPEL","Very religious",NA,"NZ Maori",NA,NA,NA,"","NZ Maori","","Maori Party","Maori Party","Maori","Maori","Voting can make a big difference to what happens","United Future"
"1989",65,NA,"Sometimes","Rarely","Not at all","Yes, occasionally","No","No","No","No","3","10","5","5","5","5","7","8","National","","Retain Queen as head of state","More","More","Less","Same as now","Same as now","Same as now","More","Same as now","Less","No, can't recall which parties formed government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Labour",NA,NA,"Yes, NZ First","Yes, Act","Yes, United Future",NA,NA,NA,"","","Don't know",74,"English","",NA,"Secondary education to School Certificate or NCEA",NA,"Working part-time for pay or other income",NA,NA,NA,NA,NA,NA,"$NZ20,001-$NZ28,899",1,NA,"Widowed","”PERSONAL SERVICES”",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a reasonable amount of difference to what happens","National"
"1990",67,NA,"Often",NA,"Often","Yes, frequently","No","Yes, rarely","No","Yes, frequently","8","6","7","7","0","0","10","8","Maori Party","","Retain Queen as head of state",NA,NA,"Same as now",NA,"Same as now",NA,NA,"Same as now",NA,NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,NA,"Yes, Act","Yes, United Future",NA,NA,"Yes, another party","LEGALISE AOTEAROA","","Green",49,"English","",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ76,100-$NZ110,799",2,1,"Married, in a civil union or living with a partner","”EDUCATION”","3","7","3","6","Right","9","Centre","1","Centre","At least once a week",NA,NA,NA,"Catholic",NA,NA,NA,"Ratana",NA,NA,NA,"","Very religious",NA,"NZ Maori",NA,NA,NA,"","NZ Maori","","Maori Party","Maori Party","Maori","Maori","Voting can make a big difference to what happens","United Future"
"1991",69,NA,"Often","Often",NA,"Yes, occasionally","No","No","No","No","8","1","8","8","0","0","5","5","Labour","","Retain Queen as head of state","Same as now","More","Same as now","Same as now","More","Same as now","More","More","Much more",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,NA,"Yes, Act","Yes, United Future",NA,NA,NA,"","","Green",74,"English","",NA,"University degree completed",NA,NA,NA,"Retired",NA,NA,NA,NA,"Don't know",2,NA,"Married, in a civil union or living with a partner","”EDUCATION”","4","9","Centre","Centre","Right","Right","Centre","4","Centre","2-3 times a month",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European","NZ Maori",NA,NA,NA,"","NZ Maori","","Labour","Labour","Nonvote","Nonvote","Voting can make a reasonable amount of difference to what happens","Labour"
"1992",68,NA,NA,NA,NA,"No","No","No","No","No","5","5","5","5","5","5","5","5","Labour","","Retain Queen as head of state","Much more","Much more","More","Much more","More","More","Much more","Much more","Much more","No, can't recall which parties formed government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, National",NA,NA,"Yes, Act",NA,NA,"Yes, Mana Party",NA,"","","Green",49,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"Less than $NZ20,000",1,3,"Divorced or separated","”CONSTRUCTION”","Centre",NA,NA,NA,NA,NA,NA,NA,"Centre","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs",NA,"NZ Maori",NA,NA,NA,"","NZ Maori","","Labour","Labour","Nonvote","Nonvote","Voting won't make any difference to what happens","Labour"
"1993",18,NA,"Rarely","Sometimes","Often","Yes, frequently","Yes, rarely","Yes, occasionally","No","No","2","9","5","0","7","6","6","0","National","","Retain Queen as head of state","Same as now","Same as now","Less","Same as now","Same as now","Same as now","More","Less","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,"Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,"Yes, Labour",NA,NA,"Yes, NZ First",NA,NA,NA,"Yes, Mana Party",NA,"","","Don't know",48,"English","",NA,"Non-degree professional trade or technical tertiary qualification","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ76,100-$NZ110,799",2,2,"Married, in a civil union or living with a partner","”COMMUNICATION”","3","7","3","Centre","9","Centre","6","1","8","2-11 times a year",NA,NA,NA,"Catholic",NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"1994",64,NA,"Rarely","Not at all","Not at all","Yes, rarely","No","No","No","No","8","6","4","6","Don't know","Don't know","8","7","Maori Party","","Become a republic with an NZ head of state","Much more","Much more","More","More","Much more","Same as now","Much more","More","Much more",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,"Yes, United Future",NA,NA,NA,"","","NZ First",53,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,NA,NA,"Temporarily or permanently disabled, unable to work",NA,NA,NA,"$NZ20,001-$NZ28,899",2,0,"Married, in a civil union or living with a partner","”AGRICULTURAL”","7","4","Don't know","8","2","3","8","8","7","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other Christian",NA,"Roman Catholic.","Just not very religious",NA,"NZ Maori",NA,NA,NA,"",NA,"",NA,NA,"Nonvote","Nonvote","Voting can make a big difference to what happens","Labour"
"1995",67,NA,NA,NA,NA,"Yes, occasionally","No","No","No","No",NA,NA,NA,"9",NA,NA,NA,NA,"NZ First","","Retain Queen as head of state","More","More",NA,"More","More",NA,"More",NA,"More",NA,NA,NA,NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,NA,"Yes, Act",NA,NA,NA,NA,"","","National",61,"English","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don't know",NA,NA,"Married, in a civil union or living with a partner","”HEALTH”",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-3 times a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other Christian",NA,"","Very religious",NA,"NZ Maori",NA,NA,NA,"",NA,"","Green",NA,"Nonvote","Nonvote","Voting can make a reasonable amount of difference to what happens","NZ First"
"1996",67,NA,NA,NA,NA,"Yes, frequently","No","No","No","No","6","4",NA,"Don't know","6","3","3","3","Another party","CONSERVATIVE","Don't know","Much more","More","Same as now","Same as now","Same as now","More","More","Same as now","More","No, can't recall which parties formed government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Labour","Yes, National","Yes, Green","Yes, NZ First",NA,"Yes, United Future",NA,"Yes, Mana Party",NA,"","CONSERVATIVE","Labour",63,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,NA,NA,"Temporarily or permanently disabled, unable to work",NA,NA,NA,"Don't know",1,1,"Divorced or separated","”MANUFACTURING”","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Centre","Never",NA,NA,NA,NA,"Methodist",NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European","NZ Maori",NA,NA,NA,"","NZ Maori","","Labour","Labour","Labour","Labour","Voting can make a big difference to what happens","Labour"
"1997",67,NA,"Sometimes","Rarely","Not at all","Yes, occasionally","No","No","No","No","7","5","7","7","5","5","5","5","NZ First","","Become a republic with an NZ head of state","More","Much more","More","Same as now","More","More","More","More","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Mana Party",NA,"","","Labour",40,"English","",NA,"Secondary education to School Certificate or NCEA",NA,"Working part-time for pay or other income",NA,NA,NA,NA,NA,NA,"$NZ28,900-$NZ51,399",1,1,"Single, never married","”CONSTRUCTION”","2","8","Centre","3","7","6","6","6","4","2-11 times a year",NA,NA,NA,NA,"Methodist",NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European","NZ Maori",NA,NA,NA,"","NZ European","",NA,NA,"Nonvote","Nonvote","Voting can make a reasonable amount of difference to what happens","Labour"
"1998",67,NA,"Often",NA,NA,"Yes, occasionally","No","Yes, occasionally","No","No","8","5","4","1","0","1","10","5","Maori Party","","Don't know","Much more","Much more","Less","More","Same as now","More","Much more","Same as now","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,"Yes, NZ First","Yes, Act","Yes, United Future",NA,"Yes, Mana Party",NA,"","","Maori Party",57,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,NA,NA,NA,NA,NA,"Working unpaid within the home","Less than $NZ20,000",1,1,"Widowed","”MANUFACTURING”","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Once a month",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious",NA,"NZ Maori",NA,NA,NA,"",NA,"","Maori Party","Maori Party","Maori","Maori","Voting can make a big difference to what happens","United Future"
"1999",67,NA,"Often","Often","Often","Yes, occasionally","No","No","No","No","8","0","6","5","0","6","7","2","Labour","","Retain Queen as head of state","More","More","Less","Same as now","More","More","More","Same as now","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,NA,"Yes, Act",NA,NA,NA,NA,"","","Maori Party",58,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ147,700 or over",3,NA,"Married, in a civil union or living with a partner","”TRANSPORTATION”","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Centre","Never",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious",NA,"NZ Maori",NA,NA,NA,"",NA,"","Labour","Labour","Labour","Labour","Voting won't make much difference to what happens","Labour"
"2000",70,NA,"Rarely","Rarely","Rarely","Yes, rarely","No","No","No","No","5","3","7","5","2","2","5","6","Green","","Retain Queen as head of state","More","Much more","More","Much more","Much more","Much more","Same as now","More","Much more",NA,NA,"Yes, National helped form government after 2008 election","Yes, Greens helped form government after 2008 election","Yes, NZ First helped form government after 2008 election","Yes, Act helped form government after 2008 election",NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,NA,"Yes, Act","Yes, United Future",NA,NA,NA,"","",NA,51,"English","",NA,"Incomplete university degree",NA,NA,"Unemployed, laid off, looking for work",NA,NA,NA,NA,NA,"$NZ28,900-$NZ51,399",2,0,"Married, in a civil union or living with a partner","”BUSINESS AND REPAIR SERVICES”","7","3","6","4","3","4","7","9","6","Once a year",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious",NA,"NZ Maori",NA,NA,NA,"","NZ Maori","","Green","9","Green","Mana","Voting can make a big difference to what happens","Green"
"2001",68,NA,NA,NA,NA,"Yes, rarely","No","No","No","No","10","2","10","2","2","2","10","10","Labour","","Retain Queen as head of state","More","More","Same as now","Less","More","Much more",NA,NA,"More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election",NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,NA,"Yes, Act","Yes, United Future",NA,NA,NA,"","","Green",47,"English","",NA,"Secondary education to School Certificate or NCEA",NA,"Working part-time for pay or other income",NA,NA,NA,NA,NA,NA,"Less than $NZ20,000",4,NA,"Single, never married","”HEALTH”","7","Left","8","2","Left","Left","8","8","7","Never",NA,NA,NA,NA,"Methodist",NA,NA,NA,NA,NA,NA,"","Just not very religious",NA,"NZ Maori",NA,NA,NA,"",NA,"","Labour","Labour","Labour","Labour","Voting can make a big difference to what happens","Labour"
"2002",65,NA,"Rarely","Not at all","Not at all","Yes, occasionally","No","No","No","No","10","6","Don't know","7","Don't know","Don't know","7","7","Labour","","Don't know","Much more","Much more","Same as now","Much more","Don't know","Don't know","Much more","More","More",NA,NA,NA,NA,NA,NA,NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,NA,"Yes, Act","Yes, United Future",NA,NA,NA,"","","Mana Party",45,"English","",NA,NA,NA,NA,NA,NA,NA,"At school, university, or other educational institution",NA,NA,"$NZ28,900-$NZ51,399",3,4,"Married, in a civil union or living with a partner","”AGRICULTURAL”","6","7","Don't know","Don't know","Don't know","Don't know","8","8","Centre","Once a year",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious",NA,"NZ Maori",NA,NA,NA,"","NZ Maori","","Labour","Labour","Nonvote","Nonvote","Voting can make a big difference to what happens","Labour"
"2003",64,NA,"Sometimes",NA,NA,"Yes, occasionally",NA,NA,NA,NA,"6","3","5","8","0","3","7","5","NZ First","","Become a republic with an NZ head of state","Same as now","Same as now","Same as now","Same as now","Same as now","Same as now","More","Less","Same as now",NA,"Yes, Labour helped form government after 2008 election","Yes, National helped form government after 2008 election","Yes, Greens helped form government after 2008 election",NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,NA,"Yes, Act",NA,NA,NA,NA,"","","Labour",53,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ110,800-$NZ147,699",4,1,"Married, in a civil union or living with a partner","”MANUFACTURING”","4","9","3","6","Right","Centre","4","1","4","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious",NA,"NZ Maori",NA,NA,NA,"",NA,"","NZ First","Labour","NZ First","Labour","Voting can make some difference to what happens","NZ First"
